Старый мнемоник,Новый мнемоник
ATR,ориг. обознач.1
ATRD,ориг. обознач.1
ATRU (CATR),ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
EWC,ориг. обознач.1
SEWC,ориг. обознач.1
EWC,ориг. обознач.1
SEWC,ориг. обознач.1
UL1P,ориг. обознач.1
UU1P,ориг. обознач.1
AN09,ориг. обознач.1
AF09,ориг. обознач.1
AN12,ориг. обознач.1
AF12,ориг. обознач.1
AN18,ориг. обознач.1
AF18,ориг. обознач.1
EXN,ориг. обознач.1
EXF,ориг. обознач.1
P09,ориг. обознач.1
P12,ориг. обознач.1
P18,ориг. обознач.1
PH15,ориг. обознач.1
XPS,ориг. обознач.1
A09,ориг. обознач.1
A12,ориг. обознач.1
A18,ориг. обознач.1
UL1A,ориг. обознач.1
UU1A,ориг. обознач.1
EXA,ориг. обознач.1
R09P (C09P),ориг. обознач.1
R09PC (C09PC),ориг. обознач.1
R12P (C12P),ориг. обознач.1
R12PC (C12PC),ориг. обознач.1
R18P (C18P),ориг. обознач.1
R18PC (C18PC),ориг. обознач.1
R15P (C15P),ориг. обознач.1
EXP,ориг. обознач.1
SEXP,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
R09A (C09A),ориг. обознач.1
R09AC (C09AC),ориг. обознач.1
R12A (C12A),ориг. обознач.1
R12AC (C12AC),ориг. обознач.1
R18A (C18A),ориг. обознач.1
R18AC (C18AC),ориг. обознач.1
R15A (C15A),ориг. обознач.1
EXC,ориг. обознач.1
SEXC,ориг. обознач.1
UL2P,ориг. обознач.1
UU2P,ориг. обознач.1
AN15,ориг. обознач.1
AF15,ориг. обознач.1
AN20,ориг. обознач.1
AF20,ориг. обознач.1
AN24,ориг. обознач.1
AF24,ориг. обознач.1
ESN,ориг. обознач.1
ESF,ориг. обознач.1
P15,ориг. обознач.1
P20,ориг. обознач.1
P24,ориг. обознач.1
PH25,ориг. обознач.1
SPS,ориг. обознач.1
A15,ориг. обознач.1
A20,ориг. обознач.1
A24,ориг. обознач.1
UL2A,ориг. обознач.1
UU2A,ориг. обознач.1
ESA,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
R15P (C15P),ориг. обознач.1
R15PC (C15PC),ориг. обознач.1
R20P (C20P),ориг. обознач.1
R20PC (C20PC),ориг. обознач.1
R24P (C24P),ориг. обознач.1
R24PC (C24PC),ориг. обознач.1
R25P (C25P),ориг. обознач.1
ESP,ориг. обознач.1
SESP,ориг. обознач.1
R15A (C15A),ориг. обознач.1
R15AC (C15AC),ориг. обознач.1
R20A (C20A),ориг. обознач.1
R20AC (C20AC),ориг. обознач.1
R24A (C24A),ориг. обознач.1
R24AC (C24AC),ориг. обознач.1
R25A (C25A),ориг. обознач.1
ESC,ориг. обознач.1
SESC,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
UL3P,ориг. обознач.1
UU3P,ориг. обознач.1
AN27,ориг. обознач.1
AF27,ориг. обознач.1
AN28,ориг. обознач.1
AF28,ориг. обознач.1
AN30,ориг. обознач.1
AF30,ориг. обознач.1
EMN,ориг. обознач.1
EMF,ориг. обознач.1
P27,ориг. обознач.1
P28,ориг. обознач.1
P30,ориг. обознач.1
PH35,ориг. обознач.1
MPS,ориг. обознач.1
A27,ориг. обознач.1
A28,ориг. обознач.1
A30,ориг. обознач.1
UL3A,ориг. обознач.1
UU3A,ориг. обознач.1
EMA,ориг. обознач.1
R27P (C27P),ориг. обознач.1
R27PC (C27PC),ориг. обознач.1
R28P (C28P),ориг. обознач.1
R28PC (C28PC),ориг. обознач.1
R30P (C30P),ориг. обознач.1
R30PC (C30PC),ориг. обознач.1
R35P (C35P),ориг. обознач.1
EMP,ориг. обознач.1
SEMP,ориг. обознач.1
R27A (C27A),ориг. обознач.1
R27AC (C27AC),ориг. обознач.1
R28A (C28A),ориг. обознач.1
R28AC (C28AC),ориг. обознач.1
R30A (C30A),ориг. обознач.1
R30AC (C30AC),ориг. обознач.1
R35A (C35A),ориг. обознач.1
EMC,ориг. обознач.1
SEMC,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
AN39,ориг. обознач.1
AF39,ориг. обознач.1
AN42,ориг. обознач.1
AF42,ориг. обознач.1
AN44,ориг. обознач.1
AF44,ориг. обознач.1
EDN,ориг. обознач.1
EDF,ориг. обознач.1
P39,ориг. обознач.1
P42,ориг. обознач.1
P44,ориг. обознач.1
DPS,ориг. обознач.1
A39,ориг. обознач.1
A42,ориг. обознач.1
A44,ориг. обознач.1
EMA,ориг. обознач.1
R39P (C39P),ориг. обознач.1
R39PC (C39PC),ориг. обознач.1
R42P (C42P),ориг. обознач.1
R42PC (C42PC),ориг. обознач.1
R44P (C44P),ориг. обознач.1
R44PC (C44PC),ориг. обознач.1
EDP,ориг. обознач.1
SEDP,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
R39A (C39A),ориг. обознач.1
R39AC (C39AC),ориг. обознач.1
R42A (C42A),ориг. обознач.1
R42AC (C42AC),ориг. обознач.1
R44A (C44A),ориг. обознач.1
R44AC (C44AC),ориг. обознач.1
EDC,ориг. обознач.1
SEDC,ориг. обознач.1
UL5P,ориг. обознач.1
UU5P,ориг. обознач.1
PH55,ориг. обознач.1
UL5A,ориг. обознач.1
UU5A,ориг. обознач.1
R55P (C55P),ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
R55A (C55A),ориг. обознач.1
RPCHM,ориг. обознач.1
RPCLM,ориг. обознач.1
RACHM,ориг. обознач.1
RACLM,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
P112,ориг. обознач.1
P114,ориг. обознач.1
P212,ориг. обознач.1
P214,ориг. обознач.1
A112,ориг. обознач.1
A114,ориг. обознач.1
A212,ориг. обознач.1
A214,ориг. обознач.1
P10H (P10H_COND),ориг. обознач.1
P10H_UNC,ориг. обознач.1
P10L (P10L_COND),ориг. обознач.1
"P10L_UNC
 или
P16H (P16H_COND)",ориг. обознач.1
P16H_UNC,ориг. обознач.1
P16L (P16L_COND),ориг. обознач.1
P16L_UNC,ориг. обознач.1
RSPH,ориг. обознач.1
RSPL,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
A10H (A10H_COND),ориг. обознач.1
A10H_UNC,ориг. обознач.1
A10L (A10L_COND),ориг. обознач.1
"A10L_UNC
 или
A16H (A16H_COND)",ориг. обознач.1
A16H_UNC,ориг. обознач.1
A16L (A16L_COND),ориг. обознач.1
A16L_UNC,ориг. обознач.1
RSAH,ориг. обознач.1
RSAL,ориг. обознач.1
P122,ориг. обознач.1
P124,ориг. обознач.1
P222,ориг. обознач.1
P224,ориг. обознач.1
A122,ориг. обознач.1
A124,ориг. обознач.1
A222,ориг. обознач.1
A224,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
P16H (P16H_COND),ориг. обознач.1
P16H_UNC,ориг. обознач.1
P16L (P16L_COND),ориг. обознач.1
"P16L_UNC
 или
P22H (P22H_COND)",ориг. обознач.1
P22H_UNC,ориг. обознач.1
P22L (P22L_COND),ориг. обознач.1
P22L_UNC,ориг. обознач.1
A16H (A16H_COND),ориг. обознач.1
A16H_UNC,ориг. обознач.1
A16L (A16L_COND),ориг. обознач.1
"A16L_UNC
 или
A22H (A22H_COND)",ориг. обознач.1
A22H_UNC,ориг. обознач.1
A22L (A22L_COND),ориг. обознач.1
A22L_UNC,ориг. обознач.1
P132,ориг. обознач.1
P134,ориг. обознач.1
P232,ориг. обознач.1
P234,ориг. обознач.1
A132,ориг. обознач.1
A134,ориг. обознач.1
A232,ориг. обознач.1
A234,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
RPCSHM,ориг. обознач.1
RPCSLM,ориг. обознач.1
P22H (P22H_COND),ориг. обознач.1
P22H_UNC,ориг. обознач.1
P22L (P22L_COND),ориг. обознач.1
"P22L_UNC
 или
P28H (P28H_COND)",ориг. обознач.1
P28H_UNC,ориг. обознач.1
P28L (P28L_COND),ориг. обознач.1
P28L_UNC,ориг. обознач.1
RMPH,ориг. обознач.1
RMPL,ориг. обознач.1
RACSHM,ориг. обознач.1
RACSLM,ориг. обознач.1
A22H (A22H_COND),ориг. обознач.1
A22H_UNC,ориг. обознач.1
A22L (A22L_COND),ориг. обознач.1
"A22L_UNC
 или
A28H (A28H_COND)",ориг. обознач.1
A28H_UNC,ориг. обознач.1
A28L (A28L_COND),ориг. обознач.1
A28L_UNC,ориг. обознач.1
RMAH,ориг. обознач.1
RMAL,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
P142,ориг. обознач.1
P144,ориг. обознач.1
P242,ориг. обознач.1
P244,ориг. обознач.1
A142,ориг. обознач.1
A144,ориг. обознач.1
A242,ориг. обознач.1
A244,ориг. обознач.1
P28H (P28H_COND),ориг. обознач.1
P28H_UNC,ориг. обознач.1
P28L (P28L_COND),ориг. обознач.1
"P28L_UNC
 или
P34H (P34H_COND)",ориг. обознач.1
P34H_UNC,ориг. обознач.1
P34L (P34L_COND),ориг. обознач.1
P34L_UNC,ориг. обознач.1
A28H (A28H_COND),ориг. обознач.1
A28H_UNC,ориг. обознач.1
A28L (A28L_COND),ориг. обознач.1
"A28L_UNC
 или
A34H (A34H_COND)",ориг. обознач.1
A34H_UNC,ориг. обознач.1
A34L (A34L_COND),ориг. обознач.1
A34L_UNC,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
P152,ориг. обознач.1
P154,ориг. обознач.1
P252,ориг. обознач.1
P254,ориг. обознач.1
A152,ориг. обознач.1
A154,ориг. обознач.1
A252,ориг. обознач.1
A254,ориг. обознач.1
RPCHM,ориг. обознач.1
RPCLM,ориг. обознач.1
P34H (P34H_COND),ориг. обознач.1
P34H_UNC,ориг. обознач.1
P34L (P34L_COND),ориг. обознач.1
"P34L_UNC
 или
P40H (P40H_COND)",ориг. обознач.1
P40H_UNC,ориг. обознач.1
P40L (P40L_COND),ориг. обознач.1
P40L_UNC,ориг. обознач.1
RDPH,ориг. обознач.1
RDPL,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
RACHM,ориг. обознач.1
RACLM,ориг. обознач.1
A34H (A34H_COND),ориг. обознач.1
A34H_UNC,ориг. обознач.1
