Старый мнемоник,Новый мнемоник
AL48P,ориг. обознач.1
AH48A,ориг. обознач.1
AM48A,ориг. обознач.1
AL48A,ориг. обознач.1
ARH48P,ориг. обознач.1
ARH48PC,ориг. обознач.1
ARM48P,ориг. обознач.1
ARM48PC,ориг. обознач.1
ARL48P,ориг. обознач.1
ARL48PC,ориг. обознач.1
ARH48A,ориг. обознач.1
ARH48AC,ориг. обознач.1
ARM48A,ориг. обознач.1
ARM48AC,ориг. обознач.1
ARL48A,ориг. обознач.1
ARL48AC,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
DF05,IK05
RK05,RO05
DF06,IK06
RK06,RO06
DF07,IK07
RK07,RO07
DF08,IK08
RK08,RO08
DF10,IK10
RK10,RO10
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
DF12,IK12
RK12,RO12
DF14,IK14
RK14,RO14
DF16,IK16
RK16,RO16
DF20,IK20
RK20,RO20
DEL4,DL
DEL2,DL
DIEL,DL
EPDC,DL
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
PSDO,EPL
PSUP,EPL
EATT,EPL_p
EPS,EPL_p
T2MFFI,FFI_1
CMFF,FFI_1
FFV,FFI_1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
LWD-MR,PNMR
MREX,PNMR
MRIL,PNMR
CMR,PNMR
MT_PHIAM,MPHS
MPHS,MPHS
T2PTOT,MPHS
TCMR,MPHS
CMRP,MPHS
MT_PHEM,MFFI
MPHE,MFFI
PORE,MFFI
MT_BWM,KVO
MBW,KVO
T2DWB,KVO
BFV,KVO
MT_BVIM,MBVI
MBVI,MBVI
T2MBVI,MBVI
MT_CBWM,MCBW
MCBV,MCBW
MT_PERMM,PMTM
MPRM,PMTM
MPERM,PMTM
T2KCOAT,PMTM
KSDR,PMTM
KTIM,PMTM
KBFV,PMTM
KDMR,PMTM
MTDISTCM,T2
T2DIS,T2
T2_DIST,T2
TPORC01-27,BP0-BPBN
P1AF-P9AF,BP0-BPBN
P1BF-P9BF,BP0-BPBN
CBP1-7,BP0-BPBN
MBP1-7,BP0-BPBN
MAG,MSL
DMAG,MSL
MRIL,MSL
GR,GK
GRAM,GK
GRBM,GK
GRCM,GK
GRAFM,GK
GRBFM,GK
GRCFM,GK
GR,GK
PGGR,GK
PGRC,GK
DGRC,GK
DGRCC,GK
GR,GK
HGR,GK
GR_EDTC,GK
GRC,GK
GR,GK
SGRC,GK
GR,GK
GRDI,GK
GR,GK
GRAM,GK
GRBM,GK
GRCM,GK
GRAFM,GK
GRBFM,GK
GRCFM,GK
GR,GK
PGGR,GK
PGRC,GK
DGRC,GK
DGRCC,GK
GR,GK
HGR,GK
GR_EDTC,GK
GRC,GK
GR,GK
SGRC,GK
GR,GK
GRDI,GK
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
GRASM,AGK
GRBSM,AGK
GRCSM,AGK
GRASM,AGK
GRBSM,AGK
GRCSM,AGK
DSL,SGR
SL,SGR
PGGR,SGR
PGRC,SGR
SGR,SGR
SGR,SGR
ASGR,SGR
GRSG,SGR
DSL,SGR
SL,SGR
PGGR,SGR
PGRC,SGR
SGR,SGR
SGR,SGR
ASGR,SGR
GRSG,SGR
U,URAN
UAPI,URAN
GRUR,URAN
URAN,URAN
URAN,URAN
HURA,URAN
GRUR,URAN
U,URAN
UAPI,URAN
GRUR,URAN
URAN,URAN
URAN,URAN
HURA,URAN
GRUR,URAN
TH,THOR
TAPI,THOR
GRTH,THOR
THOR,THOR
THOR,THOR
HTHO,THOR
GRTH,THOR
TH,THOR
TAPI,THOR
GRTH,THOR
THOR,THOR
THOR,THOR
HTHO,THOR
GRTH,THOR
K,POTA
KAPI,POTA
GRK,POTA
POTA,POTA
POTA,POTA
HFK,POTA
GRPO,POTA
K,POTA
KAPI,POTA
GRK,POTA
POTA,POTA
POTA,POTA
HFK,POTA
GRPO,POTA
DEN,GGP
DNC,GGP
BDCM,GGP
RHOB,GGP
ROBA,GGP
HRHO,GGP
NRHO,GGP
HNRH,GGP
RBD,GGP
DEN,GGP
SDRO,DGGP
LDEN,GGB
DLAM,GGB
BLM,GGB
RHL,GGB
RHOL,GGB
HLHR,GGB
SSRH,GGB
CH3,GGB
CH4,GGB
DCRF,GGB
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
SDEN,GGM
DSAM,GGM
BSM,GGM
RHS,GGM
RHOS,GGM
HSHR,GGM
CH1,GGM
CH2,GGM
DCRN,GGM
ADRH1-ADRH16,AGGP
ABDCM,AGGP
ABDCDM,AGGP
ABDCLM,AGGP
ABDCRM,AGGP
ABDCUM,AGGP
ABDCF01-ABCDF16,AGGP
ALCDA,AGGP
ALCDHC,AGGP
ROSC,AGGP
RHOBA,AGGP
ADLA1-ADLA16,AGGB
ALFDA,AGGB
RLSC,AGGB
ADSA1-ADSA16,AGGM
ALNDA,AGGM
RSSC,AGGM
ZDL,GGLP
ZDEN,GGLP
BDCM,GGLP
BDCUM,GGLP
BDCFM,GGLP
ALCDLC,GGLP
RHOM,GGLP
RHOB,GGLP
BDC,GGLP
DEN,GGLP
PE,Pe
DPEM,Pe
DPEFM,Pe
ALPELC,Pe
PEF,Pe
HPEF,Pe
ULDS,Pe
PE,Pe
NPE,Pe
FPE,Pe
PDPE,Pe
PEDF,Pe
PEDN,Pe
DLAM,GGLB
DLAFM,GGLB
TCRL,GGLB
FW1-3,GGLB
PDFC,GGLB
DSAM,GGLM
DSAFM,GGLM
TCRS,GGLM
NW1-3,GGLM
PDNC,GGLM
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
ALCDLC,AGGLP
APE1-APE16,APe
ALPELC,APe
CN,NNKnt
SWN,NNKnt
DSEN,NNKnt
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
NFAR,NNBnt
NNEAR,NNMnt
CNT,NNKt
TDS,NNKt
NPBM,WNNKt
TNPS,WNNKt
TNPL,WNNKt
NKTR,WNNKt
NRAT,WNNKt
TPOR,WNNKt
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
NFBM,NNBt
TNFA,NNBt
FCNT,NNBt
HCFT,NNBt
RCFT,NNBt
CFTC,NNBt
DNFD,NNBt
NFAR,NNBt
NFA,NNBt
DNFD,NNBt
NCRF,NNBt
TCRF,NNBt
NNBM,NNMt
TNNA,NNMt
NCNT,NNMt
HCNT,NNMt
RCNT,NNMt
CNTC,NNMt
DNND,NNMt
NNEAR,NNMt
NNA,NNMt
DNND,NNMt
NCRN,NNMt
TCRN,NNMt
NEU,NGK
NGK,NGK
NGR,NGK
NPBM,WNGK
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
ECS,NGK-S
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
CO,INNK-S
SS,INNK-S
TMDGR,INNK-S
CSNG,INNK-S
F1C,INNK-S
F1CA,INNK-S
F1FE,INNK-S
F1O,INNK-S
F1SI,INNK-S
F2CL,INNK-S
F2FE,INNK-S
F2GD,INNK-S
F2H,INNK-S
F2K,INNK-S
F2MG,INNK-S
F2TI,INNK-S
F2S,INNK-S
N1C,INNK-S
N1CA,INNK-S
N1FE,INNK-S
N1O,INNK-S
N1SI,INNK-S
N2CA,INNK-S
N2CL,INNK-S
N2FE,INNK-S
N2GD,INNK-S
N2H,INNK-S
N2K,INNK-S
N2MG,INNK-S
N2S,INNK-S
N2SI,INNK-S
N2TI,INNK-S
SGFC,SIGMA
SIGM,SIGMA
SWEC,-
TPHI,-
ACASI,"С/О, Ca/Si"
ACCO,"С/О, Ca/Si"
CCCO,"С/О, Ca/Si"
CCCS,"С/О, Ca/Si"
NCOR,"С/О, Ca/Si"
FCOR,"С/О, Ca/Si"
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
AC,AL
DAL,AL
MAC,AL
MAC2,AL
BCS,AL
BCSD,AL
BCSBB,AL
BCSBD,AL
BCSFA,AL
BCSHA,AL
SLS,AL
CSS,AL
DT,DTP
DT1,DTP
DT2,DTP
SVEL,Vp
TT1,TP1
TT2,TP2
AC,WAL
LSS,WAL
TTC,TP1-16
TTS,TS1-16
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
TTST,TSt1-16
DTPX,DTP
DTC,DTP
DTP,DTP
DTS,DTS
DTS,DTS
DTST,DTSt
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
XMAC,CDAL
DSST,CDAL
DSI,CDAL
TTC,TP1-8
TTRP,TP1-8
T1,TP1-8
TTS,TS1-8
TTRS,TS1-8
T2,TS1-8
TTST,TSt1-8
SVEL,Vp
SSVE,Vs
DTPX,DTP
DTCO,DTP
DTC (DT),DTP
DTS,DTS
DTSM,DTS
DTSF,DTS
DTSS,DTL
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
DTST,DTSt
DTST,DTSt
DTST,DTSt
EERP,AP1-8
EERS,AS1-8
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
UBI,USL
BHTV,ATW
TTWF,T_ATW
AMWF,A_ATW
TEMP,ТМ
1) - в качестве латинского обозначения данного метода (параметра) рекомендуется использовать обозначение,"1) - в качестве латинского обозначения данного метода (параметра) рекомендуется использовать обозначение, принятое компанией-разработчиком"
принятое компанией-разработчиком,"1) - в качестве латинского обозначения данного метода (параметра) рекомендуется использовать обозначение, принятое компанией-разработчиком"
1) - в качестве латинского обозначения данного метода (параметра) рекомендуется использовать обозначение,"1) - в качестве латинского обозначения данного метода (параметра) рекомендуется использовать обозначение, принятое компанией-разработчиком"
принятое компанией-разработчиком,"1) - в качестве латинского обозначения данного метода (параметра) рекомендуется использовать обозначение, принятое компанией-разработчиком"
1) - в качестве латинского обозначения данного метода (параметра) рекомендуется использовать обозначение,"1) - в качестве латинского обозначения данного метода (параметра) рекомендуется использовать обозначение, принятое компанией-разработчиком"
принятое компанией-разработчиком,"1) - в качестве латинского обозначения данного метода (параметра) рекомендуется использовать обозначение, принятое компанией-разработчиком"
1) - в качестве латинского обозначения данного метода (параметра) рекомендуется использовать обозначение,"1) - в качестве латинского обозначения данного метода (параметра) рекомендуется использовать обозначение, принятое компанией-разработчиком"
принятое компанией-разработчиком,"1) - в качестве латинского обозначения данного метода (параметра) рекомендуется использовать обозначение, принятое компанией-разработчиком"
1) - в качестве латинского обозначения данного метода (параметра) рекомендуется использовать обозначение,"1) - в качестве латинского обозначения данного метода (параметра) рекомендуется использовать обозначение, принятое компанией-разработчиком"
принятое компанией-разработчиком,"1) - в качестве латинского обозначения данного метода (параметра) рекомендуется использовать обозначение, принятое компанией-разработчиком"
1) - в качестве латинского обозначения данного метода (параметра) рекомендуется использовать обозначение,"1) - в качестве латинского обозначения данного метода (параметра) рекомендуется использовать обозначение, принятое компанией-разработчиком"
принятое компанией-разработчиком,"1) - в качестве латинского обозначения данного метода (параметра) рекомендуется использовать обозначение, принятое компанией-разработчиком"
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
DEVI,DEVI
DEVI,DEVI
DEVI,DEVI
HAZI,AZIM
HAZI,AZIM
AZIM,AZIM
AZID,AZIM
CAL,DS
4CAL,DS
WCAL,DS
CALM,DS
MAC,DS
CALI,DS
CLDC (CAL),DS
MCALI,MDS
CALE,MDS
CADF,MDS
CAMR,MDS
MLTC,MDS
MLCP,MDS
CLTC,MDS
TCCP,MDS
CRAD,RS
CR00-CR23,RS
CAL1-CAL8,RS
C1,DS1
CALX,DS1
CAXR,DS1
C2,DS2
CALY,DS2
CAYR,DS2
CBIL,PFG
AWS_BRC_CBIL,PFG
AWS_BR_CBIL,PFG
CBL,CM1-CM8
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
BAL,A_k
SBT,A_k
G_CBL,A_k
NFPI,A_k
ABHC,D_k
SA1-6,A_p
DT,T_p1-T_p2
NATN,D_p
WFI,FKD
TEMP (TCDM),ТМ
TEMP,ТМ
TEMP,ТМ
TMPC,ТМ
TEMPS,ТМ
CCL,LM
UCCL,LM
CCL,LM
CCL,LM
CCCL,LM
CCLG,LM
CCLP,LM
COLD,LM
CCL,LM
THCK,TOL
USIT,CAT
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
FMCS,DFSm
FMS,DFSm
CFM,DFSm
CFS,DFSm
TMFP,RT
EFM,RT
FTOT/ FLOC,RT
TEMP,TM
HTT,TM
DTEP,TM
SG,MN
CHMS,MN
PGMS,MN
ZDN,GGP
FLD,GGP
DGT,GGP
FDEN,GGP
TTRM,MRES
FDEN,MRES
WHI,VL
SAL1,VL
RMSF,VSM
SON,SH
ASMT,SH
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
RFT,MDT
MDT,MDT
